,Brand,Models,Price_in_Crores,Ranges,BatteryRange
0,Motovolt,Motovolt Urbn e-Bike,0.0049999,120.0,0.72
1,EMotorad,EMotorad Nighthawk,0.0475,40.0,1.56
2,Essel,Essel Energy GET 1,0.00375,70.0,0.62
3,Essel,Essel Energy GET 7,0.00435,60.0,0.62
4,Hero,Hero Lectro F6i,0.0057999,30.0,0.21
5,Hero,Hero Lectro C5,0.0030999,30.0,0.56
6,Hero,Hero Lectro C8,0.0036999,30.0,1.56
7,Hero,Hero Lectro C3,0.0028999,25.0,1.56
8,Hero,Hero Lectro C6,0.0034999,80.0,0.2
9,SVITCH,SVITCH XE,0.008225,70.0,0.4
10,Hero,Hero Lectro WINN-X,0.0044419,55.0,0.28
11,Hero,Hero Lectro WINN,0.0049999,100.0,1.56
12,Nexzu,Nexzu Roadlark,0.0042199,100.0,1.56
13,Nexzu,Nexzu Bazinga,0.0042999,32.0,0.27
14,Nexzu,Nexzu Rompus Plus,0.0029999,30.0,0.28
15,Motovolt,Motovolt Hum,0.0033049,30.0,3.24
16,Motovolt,Motovolt Kivo,0.0031774,30.0,3.24
17,Motovolt,Motovolt Kivo Easy,0.0031774,30.0,3.24
18,Motovolt,Motovolt Ice,0.0023449,25.0,3.24
19,Hero,Hero Lectro C7+,0.0034999,25.0,3.24
20,Hero,Hero Lectro C9,0.0043999,25.0,3.24
21,Hero,Hero Lectro F2I,0.0039999,25.0,3.24
22,Hero,Hero Lectro C7,0.0034999,25.0,3.24
23,Hero,Hero Lectro C8i,0.0039999,25.0,3.24
24,Hero,Hero Lectro F3i,0.0042999,30.0,3.24
25,Hero,Hero Lectro C5X,0.0038999,30.0,3.24
26,Hero,Hero Lectro C1,0.0032999,30.0,3.24
27,Hero,Hero Lectro H3,0.0028499,30.0,3.24
28,Hero,Hero Lectro H5,0.0029999,250.0,3.24
29,Hero,Hero Lectro F1,0.0038999,70.0,3.24
30,Motovolt,Motovolt Kivo 24,0.0031774,80.0,3.24
31,Polarity,Polarity Smart Sport,0.004,80.0,3.24
32,Polarity,Polarity Smart Executive,0.0038,75.0,3.24
33,Toutche,Toutche Heileo H200,0.00629,75.0,3.24
34,Toutche,Toutche Heileo M200,0.00629,75.0,3.24
35,Toutche,Toutche Heileo M100,0.00539,45.0,3.24
36,EMotorad,EMotorad EMX,0.0058999,45.0,3.24
37,EMotorad,EMotorad T-Rex,0.0042999,120.0,3.24
38,SVITCH,SVITCH XE+,0.0118,35.0,3.24
39,SVITCH,SVITCH MXE,0.00665,50.0,3.24
40,EMotorad,EMotorad Doodle,0.00798,103.0,3.24
41,Firefox,Firefox Adventron,0.0063,40.0,3.24
42,EMotorad,EMotorad X1,0.0024999,45.0,3.24
43,EMotorad,EMotorad X2,0.0027999,103.0,3.24
44,EMotorad,EMotorad X3,0.0032999,103.0,3.24
45,EMotorad,EMotorad Desert Eagle,0.05,103.0,3.24
46,udChalo,udChalo VirBike,0.0027995,103.0,3.24
47,Hornback,Hornback X1,0.0044999,103.0,3.24
48,Revolt,Revolt RV400,0.0154,150.0,3.24
